,count,mean,std,min,10%,50%,90%,max,brier,type,scale,calibration_type,ATE,ATE_error
42_1,4802.0,0.05096376744630071,0.013041566175377509,4.6120526982051935e-05,0.037777470802912494,0.05501391952434104,0.06053263056223279,0.19524182202006793,0.21890828266309098,lr,lr_model,,2.6852497551588215,0.12413864398235575
42_1,4802.0,0.04993531577123439,0.010038617109426398,0.00015848749970737153,0.044556423919060395,0.05255238348233987,0.05620922589475481,0.15300064432753352,0.21885554978980393,lr_calibrated,lr_model,sigmoid_calib,2.6593318946426105,0.09822078346614482
42_1,4802.0,0.06143625843911587,0.045311579171536595,1.856379906572947e-06,0.004355111535392808,0.05464833822248982,0.1239239115661841,0.24758200302896316,0.21561747295582773,GBT_cv,GBT_cv_model,,2.8378715645923225,0.27676045341585676
42_1,4802.0,0.04405569030918815,0.03217178243883757,0.00661022817338508,0.0077753764958463645,0.039930693834629716,0.09081582847181902,0.15518797277631124,0.2142940078580911,GBT_cv_calibrated,GBT_cv_model,sigmoid_calib,2.7732420594215355,0.21213094824506973
42_1,4802.0,0.193466881127639,0.11261254332178622,5.0118311069047294e-06,0.05201803332897198,0.1883867393524415,0.3138891471576706,0.7265815421654696,0.21217670724141718,rf_cv,rf_cv_model,,2.9204449063202134,0.35933379514374764
42_1,4802.0,0.08312459008290682,0.03316802879011719,6.2157039325549945e-06,0.03427848209094416,0.09843191244104782,0.11516789751762044,0.11575652461980768,0.18349016829382706,rf_cv_calibrated,rf_cv_model,sigmoid_calib,2.8028568145396218,0.24174570336315604
42_1,4802.0,0.04601259452213473,0.024227193064203057,2.1733769579701523e-05,0.00994851297317314,0.04573282912299009,0.080619906994154,0.08900542636882103,0.2178644607029726,identity,identity_model,,2.517741741360147,0.04336936981631867
42_1,4802.0,0.05168939894226425,0.02264039040374809,0.006454896286365974,0.019646455890735576,0.05147204402164013,0.08568594839448697,0.0895152052102064,0.21778896553021662,identity_calibrated,identity_model,sigmoid_calib,2.6949701808962083,0.1338590697197426
42_2,4802.0,0.03496391949225866,0.016045673595947933,4.30305230392225e-06,0.01702083309242054,0.03608485607921985,0.04756012757602655,0.2449570437685606,0.22760222423298432,lr,lr_model,,3.560872266357337,0.00492293027487456
42_2,4802.0,0.033265757904100995,0.013479003378389122,0.00016592490037203866,0.017695347418433795,0.03470065680367429,0.045062294964647004,0.19884453279098768,0.2275033636730363,lr_calibrated,lr_model,sigmoid_calib,3.5419590052525636,0.023836191379647875
